Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total assists_Total,total big chances saved_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total assists_p90,total big chances saved_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,3ggalwxtvh3sdvddquw10u3qi,A. Hoti,Andi Hoti,23,Defender,Kosovo,Defender,104.0,37.0,4.0,141.0,7.0,1.0,4.0,4.0,0.0,3.0,2.0,2.0,16.0,15.0,0.0,5.0,295.0,0.0,6.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,85.98,25.0,0.0,100.0,0.0,55.17,58.33,100.0,0.4753406673059632,0.1025090331831754,0.0,3.0,0.06207,1.0,8.0,10.0,0.2656026,66.0,31.728813559322035,11.28813559322034,1.2203389830508475,43.01694915254237,2.135593220338983,0.3050847457627119,1.2203389830508475,1.2203389830508475,0.0,0.9152542372881356,0.6101694915254238,0.6101694915254238,4.88135593220339,4.576271186440678,0.0,1.5254237288135597,0.0,1.8305084745762712,0.9152542372881356,0.6101694915254238,1.2203389830508475,0.0,0.0,0.0,0.0,0.0,85.98,25.0,0.0,100.0,0.0,55.17,58.33,100.0,0.1450191866357175,0.0312739423270704,0.0,0.9152542372881356,0.0189366101694915,0.3050847457627119,2.440677966101695,3.050847457627119,0.0810313016949152,20.135593220338983,CB,9,6,6,6,30,25,75,80,30,95,70,67,34,12,41,36,17,69,56,80,52,47,42,44,52,52,36,5,47,91,17,50,66,95,81,50,30,58,56,56,20,9,19,6,50,25,9,34,50,34,88,91,30,97,81,78,59,38,41,69,17,88,69,91,81,47,42,44,52,52,36,5,47,91,17,50,66,95,88,62,30,72,69,62,25,38,44,12,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,4rbwu9j1hucsm95jertjbju38,M. Marie,Max Marie,21,Midfielder,Germany,Midfielder,59.0,128.0,14.0,187.0,3.0,11.0,9.0,6.0,3.0,1.0,24.0,24.0,31.0,5.0,0.0,8.0,510.0,4.0,19.0,7.0,9.0,8.0,0.0,2.0,0.0,0.0,0.0,84.62,70.0,0.0,37.5,44.44,42.47,25.0,61.54,0.7802907408192724,0.967015528593008,2.0,21.0,0.46039456,10.0,18.0,21.0,0.7569764099999999,100.0,10.411764705882351,22.588235294117645,2.4705882352941173,33.0,0.5294117647058824,1.9411764705882355,1.588235294117647,1.0588235294117647,0.5294117647058824,0.1764705882352941,4.235294117647059,4.235294117647059,5.470588235294118,0.8823529411764706,0.0,1.4117647058823528,0.7058823529411764,3.352941176470588,1.2352941176470589,1.588235294117647,1.4117647058823528,0.0,0.3529411764705882,0.0,0.0,0.0,84.62,70.0,0.0,37.5,44.44,42.47,25.0,61.54,0.1376983660269304,0.1706497991634719,0.3529411764705882,3.705882352941176,0.0812460988235294,1.7647058823529411,3.176470588235294,3.705882352941176,0.1335840723529411,17.64705882352941,CM/AM,70,76,96,74,76,83,59,69,26,15,96,96,85,85,37,96,74,89,59,91,96,15,91,52,50,52,89,70,15,28,80,33,50,59,59,78,28,87,85,96,69,59,63,78,59,63,93,63,59,59,41,67,19,4,89,89,67,81,37,93,59,67,44,85,85,15,74,52,50,52,89,70,15,28,80,33,50,59,52,59,15,78,74,89,48,44,52,70,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,58jjd14yvf4d6tvqcz4xo3a7e,F. Flick,Florian Flick,26,Midfielder,Germany,Midfielder,123.0,146.0,23.0,269.0,10.0,1.0,10.0,7.0,3.0,3.0,3.0,3.0,29.0,17.0,1.0,8.0,537.0,3.0,7.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,86.77,67.65,0.0,33.33,30.0,61.7,76.92,75.0,0.9902494690272116,0.0449145319320889,2.0,15.0,0.30721808,5.0,33.0,20.0,0.4290415999999997,171.0,20.614525139664803,24.46927374301676,3.8547486033519553,45.08379888268156,1.675977653631285,0.1675977653631284,1.675977653631285,1.1731843575418994,0.5027932960893855,0.5027932960893855,0.5027932960893855,0.5027932960893855,4.860335195530726,2.8491620111731844,0.1675977653631284,1.340782122905028,0.5027932960893855,1.1731843575418994,0.3351955307262569,0.1675977653631284,2.011173184357542,0.0,0.0,0.0,0.0,0.0,86.77,67.65,0.0,33.33,30.0,61.7,76.92,75.0,0.1659635981609852,0.0075275751841489,0.3351955307262569,2.5139664804469275,0.0514890636871508,0.8379888268156425,5.5307262569832405,3.35195530726257,0.0719064134078211,28.65921787709497,DM/CM,81,91,95,94,80,8,95,100,61,80,34,31,72,86,69,77,88,58,17,31,100,33,38,52,52,52,75,91,33,33,52,97,94,72,97,6,55,97,88,86,89,59,47,97,66,88,94,91,72,3,88,97,47,72,22,19,56,81,50,62,75,44,16,16,97,33,38,52,52,52,75,91,33,33,52,97,94,72,91,6,44,94,78,84,84,44,34,97,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,5obbjyu0duib9ogusbv9ljjhm,N. Katterbach,Noah Katterbach,25,Defender,Germany,Defender,31.0,32.0,5.0,62.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,12.0,0.0,3.0,221.0,0.0,2.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,75.61,45.45,20.0,70.0,0.0,62.5,75.0,66.67,0.0,0.2351568425454122,0.0,7.0,0.20325783,1.0,5.0,5.0,0.1452790899999999,28.0,12.624434389140273,13.031674208144796,2.0361990950226243,25.248868778280546,1.2217194570135743,0.8144796380090498,0.0,0.0,0.0,0.0,4.072398190045249,4.072398190045249,6.108597285067873,4.886877828054298,0.0,1.2217194570135743,0.0,0.8144796380090498,0.8144796380090498,2.850678733031674,0.8144796380090498,0.4072398190045249,0.0,0.0,0.0,0.0,75.61,45.45,20.0,70.0,0.0,62.5,75.0,66.67,0.0,0.0957652299958692,0.0,2.850678733031674,0.0827746819004524,0.4072398190045249,2.0361990950226243,2.0361990950226243,0.059163430316742,11.402714932126695,LB/LCB,11,11,30,11,41,36,5,18,18,23,89,89,32,48,45,32,21,20,27,100,20,32,39,46,52,52,11,71,38,82,21,84,96,59,5,36,18,66,71,16,9,7,4,7,29,21,71,25,64,50,5,18,18,23,100,100,89,86,45,61,21,32,50,100,32,43,39,46,52,52,11,71,38,82,21,84,96,59,5,54,18,89,93,25,14,14,7,7,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,6las8etwx9c9kdkcip8gz26wa,K. Ehlers,Kevin Ehlers,25,Defender,Germany,Defender,200.0,102.0,12.0,302.0,11.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,29.0,31.0,1.0,5.0,540.0,2.0,4.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,87.28,35.29,0.0,100.0,50.0,67.44,55.0,33.33,0.5245572985102098,0.0800264635142122,0.0,3.0,0.05731012,1.0,23.0,23.0,0.4826096000000002,192.0,33.333333333333336,17.0,2.0,50.333333333333336,1.8333333333333333,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,4.833333333333333,5.166666666666667,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.1666666666666666,0.6666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,87.28,35.29,0.0,100.0,50.0,67.44,55.0,33.33,0.0874262164183683,0.0133377439190353,0.0,0.5,0.0095516866666666,0.1666666666666666,3.8333333333333335,3.8333333333333335,0.0804349333333333,32.0,RB/RCB,100,85,85,100,88,15,62,90,13,27,13,13,75,92,90,60,85,42,75,31,38,23,38,90,52,52,88,27,23,98,83,96,65,12,88,19,17,40,38,33,85,77,38,100,100,58,73,100,85,12,40,81,13,27,12,12,62,88,85,40,75,23,58,17,27,23,38,87,52,52,88,27,23,98,83,96,65,12,77,15,17,33,31,23,73,50,27,100,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,aw83l7afhw2lhkg8qm7mbnms4,J. Urbich,Jan Urbich,22,Attacker,Germany,Striker,16.0,19.0,0.0,35.0,7.0,4.0,14.0,12.0,2.0,1.0,3.0,3.0,14.0,2.0,3.0,0.0,299.0,10.0,23.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,67.31,0.0,0.0,33.33,71.43,36.84,35.0,50.0,2.1552027512462426,0.1666664240798334,2.0,1.0,0.01935132,0.0,2.0,2.0,0.05268385,7.0,4.816053511705685,5.719063545150501,0.0,10.535117056856189,2.1070234113712374,1.2040133779264213,4.214046822742475,3.612040133779264,0.6020066889632106,0.3010033444816053,0.903010033444816,0.903010033444816,4.214046822742475,0.6020066889632106,0.903010033444816,0.0,3.0100334448160533,6.9230769230769225,1.2040133779264213,0.3010033444816053,0.3010033444816053,0.0,0.3010033444816053,0.0,0.0,0.0,67.31,0.0,0.0,33.33,71.43,36.84,35.0,50.0,0.6487232361610763,0.0501671510608194,0.6020066889632106,0.3010033444816053,0.0058248120401337,0.0,0.6020066889632106,0.6020066889632106,0.0158580150501672,2.1070234113712374,ST,46,14,18,23,66,50,77,75,61,38,29,27,39,32,86,36,96,71,55,18,34,34,75,52,52,52,25,18,34,29,96,20,36,55,86,18,54,16,11,14,29,27,25,7,57,21,18,32,75,57,93,96,68,39,36,29,50,36,96,36,100,96,71,14,32,34,79,52,52,52,25,18,34,29,96,20,36,55,100,21,68,18,14,14,39,32,21,11,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,cyvk6luj08lo8hpgimx518yl0,Y. Sturm,Yann Sturm,21,Midfielder,Germany,Midfielder,18.0,57.0,3.0,73.0,0.0,10.0,19.0,13.0,6.0,4.0,28.0,31.0,23.0,0.0,2.0,2.0,479.0,10.0,29.0,4.0,17.0,1.0,2.0,1.0,0.0,0.0,0.0,74.49,60.0,66.67,60.71,52.63,48.94,0.0,50.0,2.433396554504569,0.8014815373810077,14.0,24.0,0.70998347,8.0,6.0,12.0,0.64614653,40.0,3.382045929018789,10.7098121085595,0.5636743215031316,13.7160751565762,0.0,1.8789144050104385,3.5699373695198333,2.44258872651357,1.1273486430062631,0.7515657620041754,5.260960334029228,5.82463465553236,4.321503131524008,0.0,0.3757828810020877,0.3757828810020877,1.8789144050104385,5.448851774530271,0.7515657620041754,3.194154488517745,0.1878914405010438,0.3757828810020877,0.1878914405010438,0.0,0.0,0.0,74.49,60.0,66.67,60.71,52.63,48.94,0.0,50.0,0.4572143839361403,0.1505915205935087,2.630480167014614,4.509394572025053,0.1333998169102296,1.5031315240083507,1.1273486430062631,2.2546972860125263,0.1214054022964509,7.515657620041754,LM/LCM,33,33,44,33,22,89,89,89,89,78,100,100,56,11,89,72,100,89,17,100,22,56,83,56,56,56,22,78,89,89,100,78,22,44,100,89,100,100,100,89,44,44,67,33,11,11,33,11,22,78,89,89,89,67,89,100,22,11,78,56,100,78,11,100,22,33,78,56,56,56,22,78,89,89,100,78,22,44,100,67,100,100,100,78,33,33,33,11,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,dfvji53ap80gfup5k0ise57ca,L. Frenkert,Lukas Frenkert,26,Defender,Germany,Defender,85.0,56.0,7.0,141.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,2.0,237.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,87.04,43.75,0.0,0.0,50.0,42.86,33.33,80.0,0.2214750352208884,0.0,0.0,4.0,0.0918526099999999,4.0,11.0,10.0,0.2183776900000001,85.0,32.278481012658226,21.26582278481013,2.6582278481012658,53.54430379746835,1.518987341772152,0.0,0.759493670886076,0.759493670886076,0.0,0.0,0.0,0.0,3.4177215189873418,5.69620253164557,0.0,0.759493670886076,0.379746835443038,0.759493670886076,0.0,0.0,1.518987341772152,0.0,0.0,0.0,0.0,0.0,87.04,43.75,0.0,0.0,50.0,42.86,33.33,80.0,0.0841044437547677,0.0,0.0,1.518987341772152,0.0348807379746835,1.518987341772152,4.177215189873418,3.79746835443038,0.0829282367088607,32.278481012658226,LB/LCB,57,30,50,48,55,7,32,57,18,23,7,7,14,64,45,18,59,20,7,12,48,11,39,46,52,52,86,64,11,12,80,18,25,88,46,7,18,34,32,70,39,29,14,64,93,71,86,93,79,7,57,89,18,23,7,7,21,93,45,36,79,25,7,12,79,11,39,46,52,52,86,64,11,12,80,18,25,88,68,7,18,57,50,89,75,43,21,96,2. Bundesliga
Eintracht Braunschweig,kxpw3rqn4ukt7nqmtjj62lbn,esb5jfhw65o0dgbs6gwvibyeh,A. Opoku,Aaron Opoku,27,Attacker,Germany,Striker,24.0,94.0,2.0,109.0,4.0,22.0,9.0,5.0,4.0,2.0,14.0,14.0,20.0,6.0,1.0,4.0,471.0,2.0,21.0,3.0,6.0,4.0,9.0,1.0,0.0,0.0,0.0,71.24,33.33,37.5,42.86,22.22,43.48,40.0,57.14,1.1517850554573843,2.065393252586643,2.0,20.0,0.62443786,7.0,11.0,19.0,0.72525805,63.0,4.585987261146497,17.961783439490446,0.3821656050955413,20.828025477707005,0.7643312101910827,4.203821656050955,1.7197452229299364,0.9554140127388536,0.7643312101910827,0.3821656050955413,2.6751592356687897,2.6751592356687897,3.821656050955414,1.1464968152866242,0.1910828025477706,0.7643312101910827,0.3821656050955413,4.012738853503184,0.5732484076433121,1.1464968152866242,0.7643312101910827,1.7197452229299364,0.1910828025477706,0.0,0.0,0.0,71.24,33.33,37.5,42.86,22.22,43.48,40.0,57.14,0.2200863163294364,0.3946611310675114,0.3821656050955413,3.821656050955414,0.1193193363057324,1.3375796178343948,2.1019108280254777,3.6305732484076434,0.1385843407643312,12.038216560509554,RW,78,100,78,78,50,100,33,22,89,39,83,67,44,78,56,89,28,56,33,56,83,100,78,56,56,56,56,78,100,28,22,33,44,72,100,100,39,100,100,94,100,100,78,100,44,89,67,78,22,100,22,11,78,33,44,44,11,78,56,78,11,22,22,11,78,100,67,56,56,56,56,78,100,28,22,33,44,72,56,100,33,89,89,100,100,100,67,100,2. Bundesliga
Arminia Bielefeld,bdlavlqj0dshxnepyfanzwu47,2pr5dhz0lfsy86ka37xoeub8q,J. Grodowski,Joel Grodowski,28,Attacker,Germany,Striker,24.0,41.0,5.0,64.0,8.0,3.0,15.0,13.0,2.0,5.0,19.0,19.0,26.0,4.0,5.0,1.0,507.0,8.0,31.0,7.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,73.56,71.43,14.29,47.37,53.33,37.68,32.0,50.0,1.7935173719704955,0.2322873524831182,5.0,8.0,0.26292295,6.0,3.0,6.0,0.34938201,30.0,4.260355029585798,7.278106508875739,0.8875739644970414,11.36094674556213,1.4201183431952662,0.5325443786982248,2.662721893491124,2.3076923076923075,0.3550295857988165,0.8875739644970414,3.3727810650887573,3.3727810650887573,4.615384615384615,0.7100591715976331,0.8875739644970414,0.1775147928994082,1.4201183431952662,5.502958579881656,1.242603550295858,1.5976331360946745,0.1775147928994082,0.1775147928994082,0.0,0.0,0.0,0.0,73.56,71.43,14.29,47.37,53.33,37.68,32.0,50.0,0.3183758648468335,0.0412344412691925,0.8875739644970414,1.4201183431952662,0.0466727130177514,1.0650887573964496,0.5325443786982248,1.0650887573964496,0.0620204751479289,5.325443786982248,ST,75,71,96,64,75,32,82,80,61,86,100,96,91,59,100,77,84,95,91,100,34,71,34,52,52,52,57,61,68,46,82,25,32,55,75,43,86,82,79,89,46,70,79,84,46,36,89,39,50,11,50,54,43,82,89,89,57,43,93,71,64,71,75,93,21,68,34,52,52,52,57,61,68,46,82,25,32,55,54,11,79,75,64,89,29,54,61,57,2. Bundesliga
Arminia Bielefeld,bdlavlqj0dshxnepyfanzwu47,38e1vhlbuwztsud75adfexs0k,M. Wörl,Marius Wörl,22,Midfielder,Germany,Midfielder,99.0,90.0,13.0,189.0,1.0,2.0,7.0,1.0,6.0,2.0,5.0,5.0,15.0,6.0,2.0,8.0,424.0,3.0,13.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,87.1,72.22,0.0,20.0,42.86,44.12,50.0,62.5,0.7853881023776731,0.1027581944053989,6.0,5.0,0.12803696,3.0,19.0,21.0,0.44282059,80.0,21.014150943396224,19.10377358490566,2.759433962264151,40.11792452830189,0.2122641509433962,0.4245283018867924,1.4858490566037736,0.2122641509433962,1.2735849056603774,0.4245283018867924,1.0613207547169812,1.0613207547169812,3.1839622641509435,1.2735849056603774,0.4245283018867924,1.6981132075471697,0.6367924528301887,2.759433962264151,1.2735849056603774,0.2122641509433962,1.0613207547169812,0.0,0.0,0.0,0.0,0.0,87.1,72.22,0.0,20.0,42.86,44.12,50.0,62.5,0.1667097387122419,0.0218118808879384,1.2735849056603774,1.0613207547169812,0.0271776566037735,0.6367924528301887,4.033018867924528,4.4575471698113205,0.0939949365566037,16.9811320754717,DM/CM,66,53,62,56,9,25,72,22,89,61,61,56,25,23,92,77,88,97,62,31,34,33,38,52,52,52,78,98,33,23,77,25,45,64,84,19,94,44,47,69,59,67,50,39,69,62,66,59,12,25,72,25,94,66,62,56,25,19,94,84,91,100,69,34,44,33,38,52,52,52,78,98,33,23,77,25,45,64,94,19,97,47,44,72,66,81,66,41,2. Bundesliga
Arminia Bielefeld,bdlavlqj0dshxnepyfanzwu47,63mjx2t3943wpqiomzdwg0mlm,M. Großer,Maximilian Großer,25,Defender,Germany,Defender,205.0,46.0,13.0,251.0,20.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,30.0,37.0,0.0,7.0,540.0,0.0,10.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,89.64,56.52,0.0,0.0,0.0,50.0,46.51,100.0,0.8024953414392908,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.2445568299999999,167.0,34.166666666666664,7.666666666666667,2.1666666666666665,41.833333333333336,3.333333333333333,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,5.0,6.166666666666667,0.0,1.1666666666666667,0.0,1.6666666666666667,1.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,89.64,56.52,0.0,0.0,0.0,50.0,46.51,100.0,0.1337492235732151,0.0,0.0,0.0,0.0,0.0,1.0,1.8333333333333333,0.0407594716666666,27.83333333333333,CB,72,16,50,56,94,6,89,92,30,89,19,19,75,86,41,61,17,89,92,30,34,47,42,44,52,52,62,69,47,30,17,33,31,95,94,9,30,9,9,23,9,14,9,66,56,6,31,31,94,6,73,80,30,84,19,19,66,73,41,50,17,80,88,30,25,47,42,44,52,52,62,69,47,30,17,33,31,95,81,9,30,9,9,23,6,6,6,47,2. Bundesliga
Arminia Bielefeld,bdlavlqj0dshxnepyfanzwu47,6tuxx5z4yoa95m83g9t9oyne,M. Momuluh,Monju Momuluh,24,Attacker,Germany,Striker,12.0,37.0,1.0,48.0,4.0,2.0,10.0,9.0,1.0,3.0,14.0,15.0,36.0,5.0,0.0,3.0,426.0,2.0,23.0,13.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,62.34,25.0,7.69,42.86,20.0,57.14,50.0,53.85,0.9760347020618948,0.2120911345487681,3.0,12.0,0.32497986,4.0,2.0,5.0,0.4431229299999999,15.0,2.535211267605634,7.816901408450704,0.2112676056338028,10.140845070422536,0.8450704225352113,0.4225352112676056,2.112676056338028,1.9014084507042253,0.2112676056338028,0.6338028169014085,2.9577464788732395,3.169014084507042,7.605633802816901,1.056338028169014,0.0,0.6338028169014085,0.4225352112676056,4.859154929577465,2.7464788732394365,1.267605633802817,1.4788732394366195,0.2112676056338028,0.0,0.0,0.0,0.0,62.34,25.0,7.69,42.86,20.0,57.14,50.0,53.85,0.2062045145201186,0.0448079861722749,0.6338028169014085,2.535211267605634,0.0686577169014084,0.8450704225352113,0.4225352112676056,1.056338028169014,0.0936175204225352,3.169014084507042,RW,33,44,56,44,50,22,56,72,28,72,83,83,100,67,28,72,28,67,100,56,100,39,33,56,56,56,11,50,22,28,11,94,83,56,56,33,72,67,67,78,17,28,44,22,11,22,56,11,33,22,44,56,22,44,56,56,89,56,28,67,22,56,89,44,100,33,33,56,56,56,11,50,22,28,11,94,83,56,44,22,56,67,67,78,11,22,33,11,2. Bundesliga
Arminia Bielefeld,bdlavlqj0dshxnepyfanzwu47,8bu0qcj7offuotc82kr2vhafo,H. Koudossou,Henri Koudossou,27,Defender,Germany,Defender,80.0,66.0,10.0,141.0,6.0,7.0,5.0,1.0,4.0,1.0,6.0,6.0,15.0,23.0,0.0,11.0,486.0,1.0,4.0,2.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,75.0,38.46,20.0,33.33,20.0,46.88,54.55,80.0,0.288317607405276,0.8114687120120573,4.0,4.0,0.12178723,4.0,19.0,22.0,1.1555760000000004,85.0,14.814814814814811,12.22222222222222,1.851851851851852,26.11111111111111,1.111111111111111,1.2962962962962965,0.9259259259259258,0.1851851851851851,0.7407407407407407,0.1851851851851851,1.111111111111111,1.111111111111111,2.7777777777777777,4.259259259259259,0.0,2.0370370370370368,0.1851851851851851,0.7407407407407407,0.3703703703703703,0.3703703703703703,0.7407407407407407,0.9259259259259258,0.1851851851851851,0.0,0.0,0.0,75.0,38.46,20.0,33.33,20.0,46.88,54.55,80.0,0.0533921495194955,0.1502719837059365,0.7407407407407407,0.7407407407407407,0.0225531907407407,0.7407407407407407,3.518518518518518,4.0740740740740735,0.2139955555555556,15.74074074074074,RB/RCB,73,48,73,54,71,92,77,37,92,65,71,69,35,77,42,100,58,42,29,58,38,92,87,42,52,52,19,35,63,40,54,27,60,79,58,92,90,58,65,67,67,67,100,69,50,23,58,27,58,85,69,31,88,65,58,58,12,77,42,96,50,35,19,50,35,81,81,42,52,52,19,35,63,40,54,27,60,79,54,85,88,58,58,65,69,65,96,54,2. Bundesliga
Arminia Bielefeld,bdlavlqj0dshxnepyfanzwu47,8jildds7zfj7uk3iohmmkj3kl,A. Sicker,Arne Sicker,29,Defender,Germany,Defender,68.0,61.0,10.0,124.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,14.0,19.0,0.0,7.0,288.0,0.0,4.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,79.49,43.48,27.78,0.0,0.0,70.0,75.0,75.0,0.1328199924306664,0.2714783813093689,0.0,3.0,0.0619089999999999,2.0,13.0,18.0,0.3124890899999999,60.0,21.25,19.0625,3.125,38.75,0.9375,0.625,0.3125,0.0,0.3125,0.0,0.625,0.625,4.375,5.9375,0.0,2.1875,0.0,1.25,1.25,0.0,1.875,1.5625,0.0,0.0,0.0,0.0,79.49,43.48,27.78,0.0,0.0,70.0,75.0,75.0,0.0415062476345832,0.0848369941591777,0.0,0.9375,0.0193465624999999,0.625,4.0625,5.625,0.0976528406249999,18.75,LB/LCB,50,39,79,39,41,36,12,18,45,23,25,25,27,77,45,80,21,43,54,12,71,80,39,46,52,52,36,61,64,12,21,100,96,80,29,43,18,25,29,29,55,57,29,32,64,54,89,61,54,32,14,18,46,23,29,29,43,96,45,93,21,61,66,12,89,89,39,46,52,52,36,61,64,12,21,100,96,80,32,46,18,32,29,39,71,79,29,61,2. Bundesliga
